Station,Cast,Pin,Time,Depth
36,1,3,13:16:25,160
36,1,4,13:18:21,120
36,1,5,13:19:22,99
36,1,6,13:20:20,80
36,1,7,13:21:16,60
36,1,8,13:21:51,48
36,1,9,13:23:49,20
36,1,10,13:24:22,10
37,1,1,19:39:10,179
37,1,2,19:41:47,160
37,1,3,19:43:03,140
37,1,4,19:44:19,119
37,1,5,19:45:35,99
37,1,6,19:46:48,80
37,1,7,19:49:17,40
37,1,8,19:51:20,20
